invoice_id,vendor_id,vendor_name,invoice_date,amount_eur,currency,status,po_number,payment_reference
INV-2024-00892,V003,TotalRoute S.A.,2024-11-14,8450,EUR,PAID,PO-93810,PAY-448821
INV-2024-01205,V011,LegalEdge S.A.,2025-01-08,3200,EUR,APPROVED,PO-24592,
INV-2024-10001,V001,EuroFuel GmbH,2024-09-07,32437.37,EUR,PROCESSED,PO-28289,
INV-2024-10002,V004,FleetMech GmbH,2024-03-30,10797.09,EUR,PAID,PO-65302,PAY-133326
INV-2024-10003,V001,EuroFuel GmbH,2024-08-26,8466.72,EUR,PAID,PO-88907,PAY-127824
INV-2024-10004,V022,NovaTech BV,2025-03-05,5181.4,EUR,PROCESSED,PO-68878,
INV-2024-10005,V023,GreenClean GmbH,2024-01-07,1751.86,EUR,PROCESSED,PO-65392,
INV-2024-10006,V011,LegalEdge S.A.,2024-08-08,4778.71,EUR,APPROVED,PO-23396,
INV-2024-10007,V003,TotalRoute S.A.,2025-01-02,19057.31,EUR,APPROVED,PO-89131,
INV-2024-10008,V009,SparkIT BV,2025-04-15,14914.05,EUR,PAID,PO-26361,PAY-496922
INV-2024-10009,V003,TotalRoute S.A.,2025-01-05,25425.5,EUR,PAID,PO-35203,PAY-838797
INV-2024-10010,V003,TotalRoute S.A.,2024-08-21,6695.5,EUR,APPROVED,PO-20458,
INV-2024-10011,V008,CleanStation S.A.,2025-01-24,4399.18,EUR,APPROVED,PO-69429,
INV-2024-10012,V012,MediaBoost GmbH,2024-12-29,2463.89,EUR,PROCESSED,PO-97841,
INV-2024-10013,V009,SparkIT BV,2024-03-14,13229.13,EUR,PAID,PO-93227,PAY-279451
INV-2024-10014,V022,NovaTech BV,2024-06-16,13666.03,EUR,APPROVED,PO-59735,
INV-2024-10015,V009,SparkIT BV,2024-08-12,17832.37,EUR,PAID,PO-52504,PAY-983794
INV-2024-10016,V002,AlpinaDiesel AG,2024-02-02,13474.78,EUR,APPROVED,PO-62581,
INV-2024-10017,V009,SparkIT BV,2024-11-18,3059.02,EUR,PROCESSED,PO-95909,
INV-2024-10018,V019,AlphaMark GmbH,2025-04-14,4560.69,EUR,PROCESSED,PO-44718,
INV-2024-10019,V005,AutoServ S.R.L.,2024-09-26,5206.16,EUR,PAID,PO-86622,PAY-549245
INV-2024-10020,V023,GreenClean GmbH,2024-08-12,2297.3,EUR,PROCESSED,PO-76784,
INV-2024-10021,V019,AlphaMark GmbH,2024-02-18,1818.18,EUR,PROCESSED,PO-30033,
INV-2024-10022,V006,BritTech Solutions Ltd,2025-03-08,14673.27,GBP,PAID,PO-18326,PAY-503457
INV-2024-10023,V013,NordClean ApS,2025-04-24,3181.5,EUR,PAID,PO-42953,PAY-680099
INV-2024-10024,V001,EuroFuel GmbH,2024-04-27,30170.49,EUR,PAID,PO-80381,PAY-887352
INV-2024-10025,V009,SparkIT BV,2024-12-14,14297.58,EUR,PROCESSED,PO-48469,
INV-2024-10026,V014,IberMaint S.L.,2024-01-04,4056.05,EUR,PAID,PO-44522,PAY-624902
INV-2024-10027,V006,BritTech Solutions Ltd,2024-04-18,10122.91,GBP,PAID,PO-49117,PAY-982554
INV-2024-10028,V020,LexCounsel GmbH,2024-06-05,8089.7,CHF,APPROVED,PO-31174,
INV-2024-10029,V022,NovaTech BV,2025-06-27,17256.0,EUR,PROCESSED,PO-88504,
INV-2024-10030,V011,LegalEdge S.A.,2024-04-24,6886.06,EUR,APPROVED,PO-50306,
INV-2024-10031,V008,CleanStation S.A.,2024-03-21,760.66,EUR,PROCESSED,PO-73699,
INV-2024-10032,V003,TotalRoute S.A.,2025-06-29,41185.43,EUR,PROCESSED,PO-26828,
INV-2024-10033,V019,AlphaMark GmbH,2024-06-18,9521.64,EUR,APPROVED,PO-79163,
INV-2024-10034,V025,SafeStation GmbH,2024-08-04,10193.34,EUR,PAID,PO-36365,PAY-847581
INV-2024-10035,V010,StationOps GmbH,2025-01-17,9782.87,EUR,APPROVED,PO-77839,
INV-2024-10036,V017,DataSphere SAS,2024-08-18,3936.07,EUR,PROCESSED,PO-54313,
INV-2024-10037,V001,EuroFuel GmbH,2024-08-23,26767.42,EUR,PAID,PO-38864,PAY-107540
INV-2024-10038,V003,TotalRoute S.A.,2024-03-01,31190.12,EUR,PROCESSED,PO-18834,
INV-2024-10039,V002,AlpinaDiesel AG,2024-03-13,36806.51,EUR,PAID,PO-41195,PAY-392004
INV-2024-10040,V019,AlphaMark GmbH,2024-05-15,2928.13,EUR,PAID,PO-84847,PAY-704201
INV-2024-10041,V019,AlphaMark GmbH,2025-04-29,3186.98,EUR,APPROVED,PO-34957,
INV-2024-10042,V004,FleetMech GmbH,2025-03-17,3260.1,EUR,APPROVED,PO-65519,
INV-2024-10043,V014,IberMaint S.L.,2024-02-25,8071.32,EUR,PAID,PO-95649,PAY-777568
INV-2024-10044,V004,FleetMech GmbH,2024-12-13,2787.96,EUR,PROCESSED,PO-42591,
INV-2024-10045,V007,SecureGuard AG,2025-04-04,5853.13,EUR,PROCESSED,PO-65296,
INV-2024-10046,V006,BritTech Solutions Ltd,2024-09-12,6456.72,GBP,PROCESSED,PO-68082,
INV-2024-10047,V022,NovaTech BV,2024-01-16,3566.54,EUR,PROCESSED,PO-40982,
INV-2024-10048,V006,BritTech Solutions Ltd,2025-05-07,8502.62,GBP,PROCESSED,PO-62565,
INV-2024-10049,V002,AlpinaDiesel AG,2024-01-03,11091.57,EUR,APPROVED,PO-44760,
INV-2024-10050,V017,DataSphere SAS,2025-05-13,6563.99,EUR,PROCESSED,PO-34890,
INV-2024-10051,V010,StationOps GmbH,2024-02-29,6700.92,EUR,PAID,PO-81066,PAY-163918
INV-2024-10052,V011,LegalEdge S.A.,2025-05-03,2571.65,EUR,PAID,PO-79615,PAY-265080
INV-2024-10053,V002,AlpinaDiesel AG,2024-03-23,40548.82,EUR,PROCESSED,PO-18981,
INV-2024-10054,V025,SafeStation GmbH,2024-08-28,4155.33,EUR,APPROVED,PO-25713,
INV-2024-10055,V023,GreenClean GmbH,2024-02-10,1607.97,EUR,PAID,PO-20745,PAY-539589
INV-2024-10056,V023,GreenClean GmbH,2024-11-19,3043.52,EUR,APPROVED,PO-36772,
INV-2024-10057,V011,LegalEdge S.A.,2025-02-09,4386.86,EUR,PROCESSED,PO-98039,
INV-2024-10058,V010,StationOps GmbH,2024-03-15,10772.82,EUR,PROCESSED,PO-70068,
INV-2024-10059,V025,SafeStation GmbH,2024-04-12,19973.73,USD,PROCESSED,PO-80468,
INV-2024-10060,V007,SecureGuard AG,2024-05-15,10588.27,EUR,APPROVED,PO-19016,
INV-2024-10061,V008,CleanStation S.A.,2024-06-10,2162.87,EUR,APPROVED,PO-81200,
INV-2024-10062,V010,StationOps GmbH,2025-06-25,13398.52,EUR,PROCESSED,PO-97538,
INV-2024-10063,V022,NovaTech BV,2024-04-16,6790.06,EUR,PROCESSED,PO-44664,
INV-2024-10064,V004,FleetMech GmbH,2024-06-08,13566.27,EUR,APPROVED,PO-46930,
INV-2024-10065,V025,SafeStation GmbH,2024-12-17,6580.7,EUR,PROCESSED,PO-93130,
INV-2024-10066,V009,SparkIT BV,2024-09-14,10086.54,EUR,PROCESSED,PO-22097,
INV-2024-10067,V014,IberMaint S.L.,2024-02-15,12781.53,EUR,PROCESSED,PO-53719,
INV-2024-10068,V005,AutoServ S.R.L.,2024-09-25,10282.47,EUR,PROCESSED,PO-67912,
INV-2024-10069,V022,NovaTech BV,2024-01-10,13290.68,EUR,PROCESSED,PO-19862,
INV-2024-10070,V005,AutoServ S.R.L.,2025-01-13,9092.67,EUR,PAID,PO-82420,PAY-255287
INV-2024-10071,V014,IberMaint S.L.,2024-11-11,3656.79,EUR,APPROVED,PO-15229,
INV-2024-10072,V012,MediaBoost GmbH,2024-09-12,2890.69,EUR,PAID,PO-23473,PAY-470858
